Key,HoldTime,FlightTime,DigraphLatency
t,0.0651,0.0923,0.1271
a,0.1024,0.9899,0.9527
n,0.0677,0.0943,0.129
k,0.0736,0.204,0.1981
n,0.0704,0.3244,0.3276
a,0.1204,0.1382,0.0882
m,0.0715,0.0922,0.1411
e,0.0796,0.1257,0.1176
d,0.0913,0.1712,0.1595
w,0.1151,0.3887,0.3649
a,0.1033,0.1844,0.1962
r,0.0652,0.0844,0.1224
p,0.0714,0.6994,0.6933
i,0.0516,0.2245,0.2443
g,0.1104,0.7082,0.6494
.,0.0712,1.9199,1.959
t,0.0735,0.3564,0.3541
h,0.0773,0.1696,0.1658
e,0.117,0.1569,0.1172
i,0.0642,0.1792,0.232
r,0.1067,0.1895,0.147
e,0.0912,0.3622,0.3777
f,0.0752,0.2237,0.2397
f,0.0699,0.1463,0.1516
o,0.0603,0.0994,0.109
r,0.0956,0.132,0.0967
t,0.0415,0.216,0.0024
y,0.0553,0.0114,0.2677
s,0.1021,0.9702,0.921
c,0.1004,0.4389,0.4406
u,0.0602,0.2155,0.2557
l,0.0876,0.2353,0.2079
m,0.0747,0.2979,0.3108
i,0.0648,0.2111,0.221
n,0.0701,0.2328,0.2275
a,0.1076,0.1672,0.1297
t,0.0716,0.0796,0.1156
e,0.1026,0.1506,0.1196
i,0.0654,0.9045,0.9417
n,0.0845,0.2076,0.1885
a,0.1253,0.3312,0.2904
m,0.0706,0.3703,0.425
a,0.0884,0.1286,0.1108
s,0.0699,0.1826,0.2011
s,0.0854,0.1532,0.1378
i,0.0794,0.1207,0.1267
v,0.0895,0.2807,0.2706
e,0.0854,0.2257,0.2299
a,0.109,0.2723,0.2487
s,0.055,0.1989,0.2529
s,0.0785,0.1653,0.1418
u,0.0657,0.1421,0.155
l,0.0947,0.2555,0.2266
t,0.0625,0.2902,0.3224
o,0.0628,1.4732,1.4729
u,0.0703,0.5924,0.5848
p,0.0738,0.719,0.7155
o,0.077,0.2006,0.1975
n,0.0683,0.1961,0.2048
t,0.103,0.3324,0.2976
h,0.0537,0.0596,0.109
e,0.114,0.1926,0.1322
c,0.094,0.4186,0.4386
a,0.1076,0.2248,0.2112
p,0.0608,0.0969,0.1437
i,0.0632,0.214,0.2116
t,0.0872,0.4123,0.3883
a,0.1125,0.2595,0.2342
l,0.0609,0.1001,0.1517
.,0.0771,1.0521,1.0359
h,0.0643,0.3795,0.3923
o,0.0588,0.2117,0.2171
w,0.1284,0.1843,0.1147
e,0.1003,0.2141,0.2422
v,0.0819,0.3422,0.3606
e,0.1072,0.1435,0.1182
r,0.0723,0.0921,0.1269
a,0.1132,0.3444,0.3035
n,0.0915,1.0197,1.0414
u,0.0644,0.2996,0.3267
c,0.0829,0.4054,0.3869
l,0.0596,0.1043,0.1276
e,0.0886,0.1543,0.1253
a,0.0884,0.1942,0.1944
r,0.064,0.0744,0.0988
w,0.0782,0.4288,0.4146
e,0.0726,0.1833,0.189
a,0.1197,0.2485,0.2014
p,0.0597,0.4016,0.4616
o,0.048,0.1891,0.2008
n,0.065,0.2306,0.2135
i,0.0785,1.0686,1.0551
s,0.0956,0.4902,0.4731
d,0.0969,0.5129,0.5115
e,0.0918,0.2129,0.2181
t,0.0951,0.5334,0.5301
o,0.0609,0.118,0.1521
n,0.0814,0.2067,0.1862
a,0.1296,0.1518,0.1036
t,0.0605,0.1223,0.1914
e,0.0848,0.1105,0.0862
d,0.0934,0.1577,0.1492
k,0.0708,0.9126,0.9352
i,0.0644,0.1686,0.175
l,0.0776,0.1758,0.1625
l,0.0813,0.1423,0.1387
i,0.0763,0.1822,0.1872
n,0.0769,0.1798,0.1792
g,0.1119,0.1617,0.1267
j,0.0529,0.6419,0.7009
a,0.0866,0.186,0.1523
c,0.1076,0.2862,0.2652
k,0.0579,0.1005,0.1502
s,0.0882,0.5549,0.5246
o,0.0695,0.1018,0.1205
n,0.0746,0.1954,0.1903
v,0.0642,0.882,0.8924
a,0.0789,0.1605,0.1457
s,0.0868,0.195,0.1871
q,0.1145,0.4991,0.4714
u,0.0708,0.0862,0.13
e,0.0693,0.4312,0.4326
z,0.1019,0.4857,0.4532
a,0.1112,0.8575,0.8482
n,0.0531,0.2164,0.2745
d,0.1019,0.156,0.1072
t,0.0678,1.0292,1.0633
h,0.0799,0.1736,0.1615
i,0.0579,0.8594,0.8814
r,0.058,0.2996,0.2995
t,0.0637,0.1921,0.1864
y,0.0703,0.16,0.1533
t,0.0793,0.3249,0.316
h,0.0783,0.1583,0.1592
o,0.1084,0.298,0.2679
u,0.0701,0.2109,0.2492
s,0.0917,0.1909,0.1694
a,0.1067,0.207,0.192
n,0.0679,0.1162,0.155
d,0.1029,0.2775,0.2425
m,0.0698,0.3138,0.3469
a,0.0875,0.1365,0.1189
r,0.0659,0.1872,0.2088
i,0.0634,0.3776,0.38
n,0.078,0.1773,0.1627
e,0.1084,0.1242,0.0938
s,0.1075,0.198,0.1989
.,0.0537,0.236,0.2899
g,0.0631,2.4508,2.4414
r,0.1009,0.3278,0.29
i,0.0508,0.16,0.2101
g,0.0966,0.3535,0.3077
g,0.075,0.1283,0.1498
s,0.1265,0.6667,0.6152
w,0.1167,0.5226,0.5324
a,0.091,0.1808,0.2065
s,0.084,0.1616,0.1686
n,0.0669,0.4901,0.5072
o,0.0637,0.2469,0.2501
t,0.0942,0.2189,0.1883
p,0.0566,0.4157,0.4533
r,0.0987,0.1674,0.1253
e,0.0955,0.1831,0.1863
s,0.0854,0.1597,0.1699
e,0.0895,0.1848,0.1807
n,0.0712,0.1213,0.1396
t,0.1106,0.1881,0.1486
d,0.095,0.5031,0.5188
u,0.066,0.1293,0.1583
r,0.095,0.2485,0.2196
i,0.0747,0.1514,0.1716
n,0.0786,0.195,0.1911
g,0.1204,0.1564,0.1146
t,0.1017,0.2405,0.2592
h,0.0667,0.1104,0.1454
e,0.1089,0.1342,0.0921
d,0.0722,0.4201,0.4567
e,0.0992,0.2252,0.1983
t,0.0619,0.0517,0.0889
o,0.0828,0.3403,0.3195
n,0.0739,0.2064,0.2154
a,0.1476,0.1782,0.1045
t,0.0605,0.0989,0.1859
i,0.0542,0.3891,0.3954
o,0.0733,0.1598,0.1407
n,0.0695,0.1755,0.1792
.,0.0549,0.4428,0.4574
i,0.0654,1.0867,1.0761
n,0.0813,0.1966,0.1807
a,0.0982,0.3628,0.3459
a,0.0879,1.1071,1.1175
c,0.1026,0.2327,0.218
t,0.0714,0.1097,0.141
t,0.0596,0.8096,0.8214
w,0.1108,0.19,0.1388
o,0.0554,0.2041,0.2596
",",0.0626,0.4728,0.4655
m,0.0519,1.6203,1.631
c,0.0817,0.3106,0.2807
t,0.0756,0.2206,0.2268
a,0.099,0.1476,0.1241
v,0.1004,0.317,0.3156
i,0.0599,0.1169,0.1574
s,0.1384,0.2388,0.1603
h,0.0614,0.079,0.156
i,0.0721,0.6955,0.6849
s,0.1095,0.1621,0.1246
t,0.0635,0.3649,0.4109
a,0.1066,0.1591,0.1159
s,0.0939,0.5567,0.5694
k,0.1044,0.2399,0.2294
e,0.0827,0.1038,0.1255
d,0.0929,0.181,0.1708
w,0.0811,0.349,0.3608
i,0.0595,0.1365,0.1581
t,0.1154,0.2659,0.2101
h,0.0566,0.062,0.1208
f,0.1169,1.7199,1.6596
i,0.0652,0.0717,0.1233
n,0.081,0.1979,0.1821
d,0.1213,0.1708,0.1305
i,0.0738,0.1357,0.1831
n,0.0772,0.2002,0.1969
g,0.106,0.1176,0.0889
a,0.129,0.3115,0.2884
n,0.0656,0.1181,0.1815
d,0.099,0.3198,0.2863
c,0.1201,0.9559,0.9348
a,0.1139,0.2614,0.2676
p,0.063,0.4455,0.4965
t,0.1006,0.3304,0.2927
u,0.059,0.2191,0.2606
r,0.105,0.3308,0.2848
i,0.0648,0.0978,0.1379
n,0.0924,0.1849,0.1574
g,0.1043,0.1302,0.1183
a,0.1123,0.3073,0.2993
l,0.0616,0.0818,0.1325
a,0.1083,0.4633,0.4167
s,0.0815,0.2006,0.2274
s,0.0712,0.1309,0.1411
a,0.0984,0.1837,0.1566
d,0.0994,0.3884,0.3875
i,0.0673,0.6857,0.7178
n,0.0749,0.1818,0.1743
h,0.0671,0.632,0.6398
i,0.0642,0.2125,0.2154
s,0.0997,0.1678,0.1323
s,0.1251,0.2951,0.2698
a,0.1008,0.1875,0.2117
f,0.0569,0.1325,0.1764
e,0.094,0.1465,0.1094
h,0.0648,0.4319,0.461
o,0.081,0.312,0.2959
u,0.0665,0.1988,0.2133
s,0.0969,0.125,0.0946
e,0.0778,0.172,0.1911
i,0.0731,0.7167,0.7213
n,0.0795,0.2048,0.1985
a,0.1096,0.8466,0.8164
z,0.0926,0.429,0.446
e,0.1253,0.3338,0.3011
r,0.0757,0.1799,0.2296
b,0.0694,0.2677,0.274
a,0.1125,0.1649,0.1218
i,0.0596,0.2038,0.2567
j,0.0681,0.8989,0.8904
a,0.1183,0.1603,0.1101
n,0.0517,0.0601,0.1267
h,0.0736,1.3144,1.2926
o,0.0757,0.225,0.2229
w,0.0994,0.3877,0.364
e,0.0896,0.1983,0.2081
v,0.0831,0.3858,0.3923
e,0.0977,0.1101,0.0955
r,0.0721,0.0833,0.109
w,0.1441,0.5582,0.4862
h,0.065,0.39,0.469
e,0.105,0.1402,0.1002
n,0.0675,0.0795,0.117
i,0.0535,0.3637,0.3777
t,0.1259,0.2412,0.1687
i,0.0573,0.2672,0.3358
s,0.1235,0.1501,0.0839
f,0.089,0.5231,0.5575
o,0.0701,0.1008,0.1198
u,0.0521,0.205,0.223
n,0.0932,0.2115,0.1703
d,0.1163,0.3376,0.3145
t,0.0861,0.9636,0.9938
h,0.0947,0.1875,0.1789
a,0.1534,0.1387,0.08
t,0.0663,0.0766,0.1637
z,0.0899,0.7438,0.7201
a,0.0858,0.2114,0.2154
k,0.0625,0.4771,0.5004
h,0.059,0.1999,0.2034
a,0.1473,0.1962,0.1079
e,0.0784,0.4743,0.5432
v,0.0932,0.3422,0.3274
i,0.0703,0.3031,0.326
s,0.1088,0.1745,0.1359
s,0.1065,0.4318,0.4341
u,0.0543,0.1914,0.2436
p,0.0731,0.2486,0.2297
p,0.0698,0.1417,0.145
l,0.1066,0.1997,0.163
y,0.0681,0.3775,0.4159
i,0.0674,0.212,0.2127
n,0.0696,0.1743,0.1721
g,0.0987,0.2044,0.1753
a,0.1189,1.5634,1.5432
l,0.0701,0.0996,0.1484
a,0.0881,1.1045,1.0864
s,0.0779,0.1956,0.2058
s,0.0739,0.1412,0.1452
a,0.1212,0.189,0.1417
d,0.0648,0.3593,0.4157
",",0.0712,1.0151,1.0087
a,0.1169,0.6213,0.5756
l,0.0561,0.2549,0.3157
a,0.1039,0.3455,0.2977
s,0.0645,0.179,0.2185
s,0.0845,0.1387,0.1187
a,0.0735,0.1748,0.1858
d,0.0991,0.2565,0.2308
i,0.0652,0.9291,0.9631
s,0.0836,0.1225,0.1041
e,0.103,0.5937,0.5742
x,0.1302,0.2967,0.2695
e,0.0771,0.4582,0.5113
c,0.1034,0.2262,0.1999
u,0.0741,0.2234,0.2527
t,0.0654,0.1915,0.2003
e,0.0991,0.1052,0.0714
d,0.1055,0.1547,0.1484
b,0.0777,0.5246,0.5524
y,0.0686,0.1664,0.1755
p,0.0462,0.4434,0.4658
r,0.0957,0.1952,0.1458
o,0.0392,0.1021,0.1586
c,0.0743,0.5679,0.5328
e,0.0902,0.2194,0.2035
.,0.064,1.0588,1.085
t,0.0554,0.3438,0.3524
h,0.0876,0.1835,0.1513
e,0.0992,0.1122,0.1006
r,0.071,0.101,0.1293
e,0.0902,0.0972,0.078
i,0.0594,0.6175,0.6483
s,0.0979,0.1642,0.1257
t,0.1108,0.3465,0.3336
h,0.0653,0.071,0.1165
e,0.1109,0.1739,0.1282
n,0.0727,0.0932,0.1313
l,0.0658,1.4759,1.4828
e,0.0953,0.1413,0.1118
f,0.0927,0.2443,0.2469
t,0.0766,0.107,0.1231
a,0.1245,0.426,0.3781
f,0.1005,1.2221,1.246
l,0.0685,0.1817,0.2137
a,0.1178,0.1538,0.1045
s,0.111,0.2351,0.242
h,0.06,0.135,0.1859
b,0.057,0.4362,0.4393
a,0.1128,0.1978,0.1419
c,0.0962,0.3833,0.3999
k,0.0635,0.1202,0.1529
w,0.0925,0.6254,0.5964
h,0.0865,0.0895,0.0955
e,0.1009,0.1457,0.1312
r,0.0623,0.0673,0.1059
e,0.0822,0.1243,0.1044
c,0.1074,1.2768,1.2517
a,0.0983,0.2338,0.2428
p,0.0522,0.1401,0.1861
t,0.0959,0.3759,0.3322
a,0.1208,0.9237,0.8988
i,0.0587,0.0682,0.1303
n,0.0776,0.2052,0.1863
m,0.0687,0.3765,0.3854
c,0.1047,0.2901,0.2541
m,0.0652,0.261,0.3005
i,0.0566,0.2007,0.2094
l,0.0755,0.2023,0.1834
l,0.0974,0.1548,0.1329
a,0.1355,0.4493,0.4111
n,0.069,0.5996,0.6661
",",0.0769,1.0749,1.067
a,0.1283,0.54,0.4887
s,0.1314,0.5893,0.5861
n,0.0964,0.2191,0.2541
i,0.0714,0.2522,0.2773
p,0.0787,0.2042,0.1969
e,0.0759,0.5723,0.5751
r,0.0689,0.1778,0.1849
t,0.0575,1.178,1.1893
e,0.0891,0.107,0.0754
a,0.1151,0.2217,0.1956
m,0.0725,1.2031,1.2457
l,0.073,0.803,0.8025
e,0.0701,0.1323,0.1352
a,0.0791,0.1736,0.1646
d,0.067,0.1753,0.1874
e,0.0966,0.1269,0.0973
r,0.0679,0.0929,0.1215
a,0.1121,0.4844,0.4402
n,0.0541,0.0914,0.1494
d,0.111,0.2029,0.1459
l,0.0712,0.4284,0.4683
t,0.0706,0.2777,0.2783
p,0.0449,0.4468,0.4725
r,0.0892,0.2131,0.1688
i,0.044,0.1525,0.1976
c,0.0336,0.3839,0.3943
e,0.0836,0.2437,0.1937
a,0.1096,1.2325,1.2065
r,0.0583,0.0976,0.1489
e,0.091,0.1418,0.1091
s,0.0881,0.527,0.5299
e,0.0819,0.2003,0.2065
n,0.0783,0.0992,0.1027
t,0.0683,0.2152,0.2251
t,0.0704,0.2689,0.2668
i,0.0543,1.0896,1.1057
t,0.1034,1.4313,1.3822
h,0.0702,0.0767,0.1099
e,0.1229,0.1708,0.1181
f,0.0968,0.9223,0.9484
i,0.0568,0.1108,0.1508
r,0.0952,0.2799,0.2415
s,0.1178,0.2126,0.19
t,0.0732,0.0618,0.1063
a,0.1241,0.5868,0.536
s,0.0831,0.2159,0.2569
s,0.0912,0.15,0.1418
a,0.0939,0.1734,0.1708
s,0.0772,0.4518,0.4684
s,0.0687,0.1315,0.14
i,0.0587,0.2426,0.2526
n,0.0693,0.2231,0.2125
a,0.1207,0.1693,0.1179
t,0.0676,0.154,0.2071
i,0.0573,0.2991,0.3093
o,0.0811,0.1747,0.151
n,0.0591,0.1696,0.1916
m,0.0728,0.3491,0.3354
i,0.0539,0.1872,0.2062
s,0.1071,0.1454,0.0922
s,0.1025,0.1587,0.1632
i,0.0728,0.0855,0.1153
o,0.0672,0.1531,0.1587
n,0.0705,0.1749,0.1716
i,0.0559,0.63,0.6446
s,0.0764,0.2014,0.1809
s,0.1201,0.1771,0.1334
u,0.0619,0.1504,0.2085
e,0.0946,0.1931,0.1604
d,0.1276,0.2407,0.2078
b,0.0675,0.6866,0.7467
y,0.0653,0.229,0.2312
t,0.0601,0.2172,0.2225
h,0.0827,0.1651,0.1425
e,0.1327,0.1407,0.0907
b,0.0567,0.715,0.791
r,0.0987,0.2204,0.1785
i,0.0542,0.1627,0.2071
t,0.083,1.4814,1.4526
i,0.0546,0.1016,0.13
s,0.1422,0.2303,0.1427
g,0.0635,0.2377,0.3164
h,0.0611,1.2315,1.234
g,0.0951,0.7942,0.7601
o,0.0824,0.4944,0.5072
v,0.0889,0.3811,0.3745
e,0.1112,0.1377,0.1155
r,0.0622,0.0896,0.1386
n,0.0794,0.2597,0.2424
m,0.0856,0.2013,0.1951
e,0.1153,0.1413,0.1116
n,0.0816,0.0958,0.1295
t,0.0676,0.2236,0.2375
s,0.099,1.0138,0.9825
i,0.0652,0.1315,0.1653
n,0.0762,0.4412,0.4303
c,0.078,0.2322,0.2303
e,0.1181,0.1247,0.0846
w,0.0708,0.5259,0.5732
o,0.0533,0.1282,0.1456
r,0.0947,0.2401,0.1988
l,0.089,0.1583,0.164
d,0.0853,0.4855,0.4892
w,0.1023,0.3103,0.2933
a,0.0955,0.1883,0.1951
r,0.0677,0.1436,0.1714
t,0.0652,0.7786,0.7811
w,0.1095,0.1892,0.1449
o,0.0478,0.2281,0.2898
.,0.08,1.1392,1.1071
t,0.0601,0.3531,0.3731
h,0.0757,0.1839,0.1682
e,0.1249,0.1859,0.1366
i,0.062,0.0755,0.1385
r,0.088,0.3678,0.3418
t,0.0694,0.6271,0.6457
a,0.1282,0.1828,0.124
r,0.0659,0.0504,0.1128
g,0.0891,0.2015,0.1782
e,0.1082,0.1162,0.0972
t,0.068,0.1042,0.1444
i,0.0572,0.5977,0.6086
s,0.11,0.1806,0.1278
z,0.0651,1.3923,1.4372
a,0.1458,0.2672,0.1865
k,0.084,0.4153,0.4771
h,0.0717,0.2208,0.233
a,0.1342,0.1803,0.1178
e,0.0972,0.632,0.6689
v,0.0707,0.1887,0.2153
",",0.065,0.6201,0.6258
a,0.1178,0.4513,0.3985
r,0.0904,0.5033,0.5307
i,0.0564,0.1272,0.1612
c,0.1547,0.2112,0.1129
k,0.0405,0.0459,0.1601
h,0.0621,0.9782,0.9566
u,0.0626,0,0
l,0.0876,0.2423,0.2173
t,0.0647,0.3493,0.3722
r,0.0685,0.1655,0.1616
a,0.1382,0.1763,0.1067
n,0.1069,0.2174,0.2487
a,0.1261,0.147,0.1279
t,0.0606,0.0781,0.1436
i,0.0595,0.3288,0.3299
o,0.0682,0.1466,0.1379
n,0.0637,0.1664,0.1709
a,0.1167,0.1392,0.0861
l,0.0683,0.0755,0.1239
i,0.0669,0.192,0.1934
s,0.1187,0.147,0.0952
t,0.0626,0.2088,0.265
a,0.0994,0.891,0.8541
n,0.0722,0.1426,0.1699
d,0.102,0.1999,0.17
a,0.1191,0.2473,0.2303
r,0.0604,0.1184,0.1771
m,0.0681,0.2545,0.2468
s,0.1089,0.1574,0.1166
d,0.0914,0.3214,0.3389
e,0.0837,0.1818,0.1894
a,0.1148,0.2077,0.1767
l,0.0767,0.1121,0.1502
e,0.0994,0.5047,0.482
r,0.0569,0.0637,0.1062
.,0.0883,0.9582,0.9269
t,0.0711,0.2833,0.3006
h,0.0977,0.1828,0.1561
e,0.1015,0.0887,0.0849
y,0.0526,0.072,0.1209
c,0.1028,0.4384,0.3882
r,0.0599,0.145,0.1879
a,0.1196,0.1832,0.1236
w,0.0994,0.4048,0.425
l,0.0614,0.0877,0.1257
i,0.056,0.5682,0.5736
n,0.0616,0.1771,0.1715
t,0.0929,0.1931,0.1618
o,0.0653,0.0819,0.1096
t,0.0751,1.5861,1.5763
e,0.1347,0.2,0.1403
b,0.0393,0.0262,0.1215
c,0.1015,1.5239,1.4617
o,0.0843,0.1218,0.139
u,0.073,0.1949,0.2062
n,0.0831,0.1798,0.1697
t,0.1002,0.1742,0.1571
r,0.0917,0.4189,0.4274
y,0.0659,0.0983,0.124
s,0.0881,0.6176,0.5955
u,0.0134,0.0545,0.1291
d,0.0906,0.4914,0.4142
e,0.0856,0.1937,0.1987
i,0.0579,0.4132,0.441
n,0.0783,0.1984,0.178
g,0.0926,0.4537,0.4394
h,0.0596,0.0468,0.0798
u,0.0586,0.217,0.218
l,0.0819,0.2046,0.1812
e,0.0994,0.6545,0.637
s,0.1092,0.5379,0.5281
u,0.0631,0.1691,0.2152
i,0.0765,0.1908,0.1773
t,0.065,0.2138,0.2253
s,0.0968,0.1202,0.0885
s,0.1335,1.3727,1.336
i,0.0637,0.0862,0.156
l,0.0726,0.1893,0.1805
e,0.1078,0.1211,0.0859
n,0.0854,0.1892,0.2116
t,0.0639,0.2215,0.243
l,0.047,0.4516,0.4685
y,0.1043,0.2727,0.2154
s,0.1132,1.4202,1.4112
n,0.0529,0.1484,0.2087
i,0.0697,0.3054,0.2886
p,0.0754,0.1985,0.1928
i,0.0643,0.1824,0.1936
n,0.0887,0.1861,0.1616
g,0.1186,0.1685,0.1386
e,0.1043,1.2911,1.3055
n,0.0584,0.0675,0.1134
e,0.1045,0.1836,0.1375
m,0.0731,0.1004,0.1318
y,0.0583,0.3463,0.3611
p,0.0738,0.3639,0.3485
a,0.1167,0.1537,0.1107
t,0.0548,0.1918,0.2538
r,0.0796,0.1524,0.1276
o,0.0689,0.3179,0.3285
l,0.0845,0.1636,0.148
s,0.1007,0.1416,0.1254
o,0.0573,0.9549,0.9983
r,0.1099,0.2834,0.2307
l,0.0702,0.2871,0.3269
e,0.1014,0.1591,0.1278
t,0.0589,0.1723,0.2147
t,0.0864,0.1367,0.1092
o,0.0324,0.2461,0.0101
i,0.0534,0.0108,0.29
n,0.0635,0.2153,0.195
g,0.1042,0.2617,0.221
t,0.1028,0.5914,0.5929
h,0.05,0.0536,0.1063
e,0.1263,0.2145,0.1382
m,0.0444,0.033,0.1149
g,0.1058,1.4953,1.434
o,0.0556,0.0936,0.1439
.,0.0609,0.572,0.5666
u,0.0598,0.9811,0.9823
n,0.0846,0.1946,0.1698
t,0.0971,0.1905,0.178
i,0.0829,0.1114,0.1256
l,0.0851,0.1719,0.1697
t,0.0893,0.4658,0.4616
h,0.0505,0.0589,0.0977
e,0.1077,0.1756,0.1185
y,0.0759,0.0872,0.119
r,0.1107,0.8454,0.8106
e,0.0978,0.1767,0.1896
a,0.1091,0.2114,0.2
c,0.1237,0.2525,0.238
h,0.0597,0.0266,0.0906
a,0.1264,0.878,0.8113
n,0.0597,0.0883,0.155
a,0.1128,0.577,0.5239
b,0.0486,0.0579,0.1221
a,0.1171,0.2125,0.144
n,0.0669,0.1699,0.2201
d,0.0874,0.5953,0.5748
o,0.0591,0.0958,0.1242
n,0.0562,0.1819,0.1848
e,0.0992,0.1443,0.1012
d,0.092,0.165,0.1723
h,0.0605,1.1117,1.1432
o,0.0494,0.4885,0.4996
t,0.0955,0.2092,0.1632
e,0.0819,0.3771,0.3907
l,0.0535,0.0798,0.1083
w,0.1168,0.373,0.3097
h,0.0868,0.187,0.2171
e,0.1122,0.1183,0.0929
r,0.0689,0.117,0.1603
e,0.1116,0.1285,0.0859
t,0.0716,0.7734,0.8134
h,0.0803,0.179,0.1704
e,0.1601,0.1499,0.0701
y,0.0704,0.0967,0.1865
g,0.1094,1.0828,1.0438
e,0.1113,0.139,0.1371
t,0.072,0.0773,0.1166
a,0.1232,0.3364,0.2851
c,0.1246,0.3844,0.383
l,0.0669,0.2697,0.3274
e,0.1056,0.1727,0.134
a,0.1098,0.2015,0.1973
r,0.07,0.0907,0.1305
v,0.0673,0.4084,0.4111
i,0.0701,0.3394,0.3365
e,0.0775,0.3258,0.3184
w,0.0821,0.1733,0.1686
o,0.0613,0.5102,0.5311
f,0.0886,0.2172,0.1899
z,0.099,1.9672,1.9569
a,0.0892,0.219,0.2287
k,0.0595,0.5359,0.5655
h,0.0639,0.2005,0.1961
a,0.1355,0.1528,0.0813
e,0.0922,0.5113,0.5546
v,0.0825,0.5152,0.5249
e,0.0879,1.262,1.2565
x,0.0968,0.2229,0.214
c,0.1213,0.8663,0.8418
h,0.0598,0.2292,0.2906
a,0.127,0.1621,0.0949
n,0.0748,0.0828,0.135
g,0.0603,0.2654,0.2799
i,0.0652,0.303,0.298
n,0.073,0.1726,0.1649
g,0.1071,0.1487,0.1146
n,0.0683,0.3054,0.3442
u,0.0461,0.1884,0.2105
c,0.0883,0.3944,0.3522
l,0.0708,0.0813,0.0988
e,0.1046,0.2142,0.1804
a,0.1096,0.2041,0.1991
r,0.0653,0.078,0.1223
r,0.0773,1.2164,1.2044
o,0.0529,0.0967,0.121
d,0.0718,0.251,0.2322
s,0.0804,0.1729,0.1642
w,0.0787,0.6173,0.619
f,0.0942,0.8354,0.82
o,0.0593,0.0941,0.1289
r,0.0861,0.1427,0.1159
w,0.0899,0.7165,0.7127
e,0.0834,0.2041,0.2106
o,0.0666,1.2272,1.2441
p,0.0724,0.1734,0.1676
o,0.0704,0.1775,0.1795
n,0.0661,0.1918,0.1961
s,0.0989,0.5004,0.4676
h,0.0725,1.5319,1.5583
e,0.1087,0.148,0.1117
i,0.0528,0.2843,0.3402
s,0.1019,0.2339,0.1848
s,0.0939,0.6421,0.6501
n,0.0601,0.0661,0.0999
i,0.0653,0.2293,0.2241
p,0.0791,0.1832,0.1694
e,0.0753,0.1372,0.141
d,0.0966,0.1738,0.1525
b,0.0638,0.7349,0.7676
y,0.0646,0.2203,0.2195
p,0.0758,0.5149,0.5037
r,0.1139,0.2306,0.1924
i,0.0781,0.3657,0.4016
c,0.1009,0.1927,0.1698
e,0.0952,0.2256,0.2313
",",0.0564,0.2704,0.3091
b,0.0795,1.0023,0.9792
u,0.0688,0.2501,0.2608
t,0.0697,0.21,0.2091
t,0.1078,0.5506,0.5125
h,0.084,0.2395,0.2633
o,0.0769,0.8897,0.8968
n,0.0725,0.1873,0.1917
l,0.086,0.1789,0.1654
y,0.075,0.1985,0.2094
h,0.0736,0.2514,0.2529
i,0.0586,0.2435,0.2584
s,0.094,0.1591,0.1237
a,0.1105,0.3531,0.3366
r,0.075,0.1841,0.2196
m,0.0815,0.2928,0.2863
i,0.0819,0.4696,0.4693
s,0.0927,0.157,0.1462
l,0.0666,0.3912,0.4172
o,0.0415,0.1828,0.208
s,0.12,0.2018,0.1233
t,0.0646,0.1439,0.1992
.,0.0571,0.6185,0.626
p,0.0574,1.6266,1.6264
r,0.0871,0.2697,0.24
i,0.0584,0.1738,0.2025
c,0.0737,0.4013,0.386
e,0.0929,0.2175,0.1984
a,0.1057,0.241,0.2281
n,0.0535,0.0381,0.0903
d,0.0979,0.2157,0.1714
m,0.0551,0.3937,0.4365
c,0.0887,0.3481,0.3145
m,0.0644,0.6212,0.6455
i,0.078,0.8981,0.8845
l,0.0593,0.2091,0.2278
l,0.0682,0.1395,0.1306
i,0.063,0.5871,0.5924
a,0.1093,0.1941,0.1477
n,0.0763,0.0659,0.0989
w,0.0904,1.6171,1.603
h,0.0679,0.1422,0.1647
o,0.0692,0.2348,0.2335
h,0.0632,0.9652,0.9712
g,0.0805,0.9157,0.8984
e,0.1055,0.1476,0.1226
t,0.065,0.0712,0.1117
s,0.1102,0.1457,0.1005
h,0.0438,0.3227,0.3891
i,0.0674,0.2611,0.2375
s,0.0881,0.1388,0.1181
l,0.0733,0.3357,0.3505
e,0.0857,0.1638,0.1514
g,0.0636,0.314,0.3361
s,0.112,0.1484,0.1
i,0.0518,1.1344,1.1945
n,0.0648,0.2191,0.2061
j,0.0786,0.5628,0.549
u,0.0749,0.2145,0.2182
e,0.1259,0.1871,0.1361
r,0.0616,0.6441,0.7085
e,0.0887,0.1398,0.1127
d,0.0826,0.1577,0.1639
w,0.0825,1.1619,1.162
h,0.0669,0.0837,0.0993
e,0.1178,0.1633,0.1124
n,0.0716,0.0795,0.1257
a,0.1349,0.3157,0.2524
h,0.0614,0.615,0.6885
e,0.1129,0.1844,0.1329
l,0.0793,0.0694,0.1029
i,0.0695,0.209,0.2188
p,0.0795,0.2167,0.2068
c,0.1084,1.2731,1.2442
o,0.0613,0.1056,0.1528
p,0.0672,0.1795,0.1736
t,0.0651,0.3599,0.3619
e,0.0984,0.1273,0.0941
r,0.0707,0.0914,0.1191
c,0.1055,0.7616,0.7268
r,0.0654,0.5177,0.5577
a,0.1134,0.2031,0.1551
s,0.1046,0.2421,0.2509
h,0.0738,0.1529,0.1838
e,0.0849,0.1256,0.1145
s,0.0896,0.4996,0.4949
.,0.0632,0.183,0.2094
