Key,HoldTime,FlightTime,DigraphLatency
o,0.0516,1.808,1.8365
r,0.0899,0.1719,0.1337
g,0.0686,0.2652,0.2864
a,0.1227,0.164,0.1099
n,0.0725,0.109,0.1591
i,0.0675,0.2445,0.2496
z,0.1069,0.3364,0.297
e,0.0821,0.2508,0.2755
d,0.0952,0.1806,0.1676
b,0.1091,0.8064,0.7925
y,0.0605,0.0829,0.1315
h,0.0771,1.1983,1.1816
i,0.0737,0.2048,0.2083
s,0.127,0.1645,0.1112
a,0.1444,0.7688,0.7514
l,0.061,0.2093,0.2926
l,0.1131,0.1635,0.1114
y,0.0562,0.3975,0.4544
k,0.0568,0.6853,0.6846
h,0.0491,0.2056,0.2133
a,0.1039,0.2134,0.1586
l,0.0893,0.1145,0.1291
e,0.0941,0.1924,0.1876
d,0.1078,0.1903,0.1766
a,0.1136,0.3763,0.3705
a,0.1195,0.6539,0.6481
s,0.075,0.1978,0.2423
s,0.0852,0.135,0.1248
a,0.0712,0.1778,0.1918
d,0.1308,0.8192,0.7596
",",0.0627,0.7731,0.8412
t,0.08,0.6961,0.6788
o,0.0731,0.0912,0.0981
d,0.1217,0.4625,0.4139
r,0.0621,0.2027,0.2623
a,0.1198,0.2621,0.2045
w,0.0646,0.1931,0.2482
p,0.0957,0.6376,0.6064
u,0.0687,0.2754,0.3024
b,0.0916,0.4294,0.4065
l,0.074,0.0875,0.1051
i,0.0633,0.2034,0.2141
c,0.1015,0.6622,0.624
a,0.1349,0.678,0.6445
t,0.0675,0.1705,0.2379
t,0.08,0.1269,0.1144
e,0.1092,0.1893,0.1601
n,0.0631,0.1644,0.2106
t,0.0847,0.2806,0.259
i,0.0596,0.1254,0.1506
o,0.0783,0.1801,0.1614
n,0.0615,0.179,0.1958
t,0.0896,0.306,0.2778
o,0.0724,0.1174,0.1347
t,0.0644,0.3872,0.3951
h,0.0802,0.1722,0.1564
e,0.0905,0.138,0.1277
m,0.075,0.4923,0.5078
i,0.0632,0.2347,0.2465
d,0.0537,0.3371,0.3466
d,0.0656,0.1485,0.1365
l,0.0702,0.1086,0.1041
e,0.1075,0.1515,0.1142
e,0.0931,0.302,0.3164
a,0.0882,0.197,0.2018
s,0.0905,0.1824,0.1801
t,0.0673,0.0567,0.08
i,0.0691,1.1048,1.103
n,0.0826,0.2111,0.1976
s,0.1188,0.1963,0.1601
t,0.0654,0.1696,0.2231
e,0.0944,0.1229,0.094
a,0.0962,0.2101,0.2083
d,0.0731,0.1205,0.1436
o,0.0539,0.5862,0.6054
f,0.0866,0.2101,0.1773
r,0.1042,0.5547,0.5371
u,0.0554,0.1281,0.1769
s,0.0833,0.1989,0.171
s,0.1002,0.1655,0.1487
i,0.0759,0.1091,0.1334
a,0.1082,0.1373,0.105
.,0.0746,0.5391,0.5727
i,0.0666,0,0
n,0.0753,0.1908,0.182
a,0.0924,0.378,0.3608
c,0.1104,0.2445,0.2265
t,0.068,0.0905,0.133
o,0.0537,0.9041,0.9184
n,0.0655,0.8314,0.8196
e,0.1069,0.1592,0.1178
",",0.0555,0.3308,0.3823
m,0.0683,1.002,0.9892
c,0.1053,0.4132,0.3761
t,0.0774,0.3197,0.3476
a,0.1091,0.1802,0.1486
v,0.1165,0.3218,0.3144
i,0.0703,0.1092,0.1554
s,0.1381,0.2079,0.1401
h,0.0629,0.2376,0.3128
c,0.0815,1.0916,1.073
a,0.0967,0.2303,0.215
p,0.0544,0.1056,0.1479
t,0.0817,0.2868,0.2596
a,0.1414,0.2991,0.2394
i,0.0593,0.068,0.15
n,0.0656,0.184,0.1777
p,0.057,0.8456,0.8542
r,0.0938,0.193,0.1561
o,0.0449,0.0811,0.13
c,0.097,0.5603,0.5082
e,0.0933,0.2265,0.2302
a,0.1207,0.9438,0.9164
n,0.0595,0.2234,0.2847
d,0.1019,0.1788,0.1364
g,0.0725,0.4261,0.4555
a,0.092,0.1238,0.1043
z,0.1228,0.3606,0.3298
r,0.0904,0.3834,0.4157
e,0.0797,0.1772,0.1878
s,0.1109,0.2207,0.1895
c,0.0892,0.5751,0.5968
u,0.0628,0.1334,0.1597
e,0.1141,0.1621,0.1109
a,0.118,0.8541,0.8501
r,0.1112,0.399,0.4058
u,0.0744,0.3432,0.3799
s,0.0872,0.1454,0.1326
s,0.0919,0.1717,0.167
i,0.0752,0.1355,0.1522
a,0.1165,0.1484,0.107
n,0.0619,0.0871,0.1416
i,0.0729,1.05,1.0391
m,0.0751,0.2095,0.2073
f,0.0984,1.1443,1.1209
o,0.0484,0.1093,0.1593
r,0.1367,0.2341,0.1458
m,0.0797,0.3408,0.3977
a,0.131,0.1442,0.093
n,0.0652,0.0729,0.1388
t,0.101,0.2771,0.2412
c,0.0992,0.4007,0.4025
o,0.0613,0.116,0.1539
d,0.0873,0.1427,0.1167
e,0.0918,0.2012,0.1967
n,0.0533,0.3144,0.3529
a,0.102,0.1407,0.092
m,0.0596,0.0898,0.1322
e,0.0854,0.1637,0.1379
d,0.0795,0.163,0.1689
n,0.0871,1.193,1.1854
i,0.0626,0.2765,0.301
k,0.0602,0.3674,0.3698
o,0.0517,0.199,0.2076
l,0.0608,0.2231,0.2139
a,0.1002,0.1641,0.1247
i,0.0511,0.4573,0.5064
.,0.0523,0.6617,0.6605
t,0.0904,0.8778,0.8396
h,0.0763,0.0928,0.1069
e,0.1292,0.1716,0.1187
y,0.0556,0.0503,0.1238
a,0.1419,0.3505,0.2643
r,0.0663,0.1022,0.1778
e,0.0856,0.1361,0.1168
s,0.0756,0.2966,0.3065
u,0.0712,0.2362,0.2406
p,0.0945,0.2588,0.2355
p,0.0785,0.1444,0.1605
o,0.0652,0.6918,0.7051
r,0.095,0.1515,0.1217
t,0.0597,0.1944,0.2297
e,0.0871,0.1528,0.1254
d,0.0911,0.1775,0.1734
b,0.0713,0.4535,0.4734
y,0.0645,0.2185,0.2253
r,0.0838,1.1683,1.1491
u,0.0584,0.1498,0.1752
s,0.1122,0.1719,0.118
s,0.0881,0.1672,0.1914
i,0.0731,0.1115,0.1265
a,0.1335,0.1904,0.13
n,0.0784,0.0511,0.1063
l,0.0795,0.4622,0.461
o,0.0521,0.1909,0.2184
y,0.0539,0.2613,0.2594
a,0.1186,0.2188,0.1542
l,0.0912,0.101,0.1284
i,0.0698,0.1968,0.2182
s,0.088,0.1768,0.1587
t,0.0586,0.0777,0.107
s,0.095,0.143,0.1066
l,0.0729,1.191,1.213
e,0.0974,0.1219,0.0974
d,0.1033,0.1851,0.1792
b,0.091,0.7642,0.7766
y,0.063,0.1102,0.1381
s,0.1131,0.7268,0.6767
g,0.0656,0.1446,0.1921
t,0.0665,0.202,0.2011
k,0.0743,0.5142,0.5064
r,0.0908,0.1734,0.157
i,0.0742,0.1476,0.1641
g,0.0759,0.7199,0.7183
g,0.0923,0.1508,0.1343
s,0.1129,0.1885,0.1679
a,0.1023,1.488,1.4986
n,0.0664,0.1055,0.1415
d,0.1051,0.1611,0.1223
k,0.0779,0.6714,0.6986
a,0.1144,0.3469,0.3105
m,0.0778,0.143,0.1796
a,0.129,0.151,0.0998
r,0.0808,0.5341,0.5824
o,0.0564,0.0716,0.096
v,0.0918,0.4437,0.4083
.,0.0478,0.1621,0.2061
w,0.0888,1.0521,1.0111
h,0.071,0.1247,0.1426
i,0.0746,0.2147,0.2111
l,0.0767,0.176,0.1739
e,0.1013,0.152,0.1274
e,0.0799,0.248,0.2694
s,0.1048,0.2034,0.1785
