Key,HoldTime,FlightTime,DigraphLatency
d,0.0619,0.1573,0.1666
l,0.107,0.1729,0.1278
e,0.1051,0.1754,0.1773
e,0.1009,0.8447,0.8489
a,0.1232,0.1502,0.1279
s,0.0614,0.1843,0.2461
t,0.0922,0.201,0.1702
o,0.1144,3.9933,3.9711
r,0.0914,0.1179,0.141
g,0.0956,0.8647,0.8605
a,0.1293,0.1424,0.1087
n,0.1426,0.7485,0.7352
i,0.176,0.152,0.1186
s,0.1307,0.4132,0.4584
e,0.0963,0.1064,0.1409
d,0.0875,0.202,0.2108
b,0.1504,1.3794,1.3165
y,0.1432,0.0865,0.0937
h,0.1438,0.61,0.6094
i,0.1228,1.3992,1.4202
s,0.1261,0.6367,0.6334
a,0.1356,1.3518,1.3423
l,0.0896,0.243,0.289
l,0.0693,0.1986,0.2189
e,0.0883,0.7812,0.7623
y,0.0882,0.2173,0.2173
k,0.083,3.1109,3.1162
h,0.1018,0.9126,0.8938
a,0.1226,0.2203,0.1995
l,0.1044,0.2873,0.3055
e,0.106,0.2098,0.2082
d,0.0917,0.2449,0.2593
a,2.3632,1.4986,0.1995
l,0.0754,0.4368,0.4568
a,7.1771,4.377,0.1995
s,0.071,0.2023,0.2417
a,0.1115,0.5905,0.5499
d,0.078,0.3063,0.3398
.,0.1174,1.8956,1.8562
t,0.1187,2.0315,2.0303
o,0.0814,0.0941,0.1314
d,0.1106,0.7231,0.6939
r,0.1278,0.135,0.1178
a,0.105,0.1586,0.1814
w,0.0902,0.1439,0.1587
p,0.1239,1.0604,1.0267
u,0.0655,0.4326,0.4911
n,0.0756,0.3999,0.3898
b,0.1307,1.1802,1.1251
l,0.1096,0.1773,0.1984
i,0.0775,1.4054,1.4374
c,0.0994,0.2128,0.191
a,0.1943,1.4004,1.3054
t,0.0872,0.0561,0.1632
e,0.062,0.1551,0.1803
t,0.0767,3.6398,3.6251
e,0.1085,0.1524,0.1206
n,0.0902,1.7363,1.7546
t,0.1095,0.3418,0.3225
i,0.0737,0.2002,0.236
o,0.1716,0.1592,0.0614
n,0.0858,0.2694,0.3551
t,0.1215,2.1428,2.1072
o,0.0779,0.0892,0.1327
